cleaned_content; label
aplikasi bagus ren ttp jaga kualitas y tokped;nonquality
karang trackiing pengiriman kurang jelasha isi sortir sortir sajanama wilayah isiberbeda cek web pengirim langsungjelas nama wilayahnyaini bikin bingung paketmya sampai mana;informationquality
mau tambah alamat pengirim tapi ga bisa pin point;informationquality
mantap;nonquality
sy ganti bintang makin sini tokopedia makin aneh gak jelas;informationquality
normal namun mudah;nonquality
bagus;nonquality
bagus lasa;nonquality
banyak toko bodong;informationquality
bagus tapi mbali in tampil gopay dulu dong biar langsung lihat imakasih;informationquality
aplikasi ga bener;informationquality
tolong ada fitur block toko masa agar na dua kali;informationquality
bagus lalu dapat harga murah pengirim juga cepat suka kali menjak download lupa sama toko orange;informationquality
sangat mbantu;nonquality
sangat mbantu;nonquality
aku gerti ima kasih;nonquality
apk gak jelas banget top up ngecek riwayat top up ma gk muncul notif tapi kosong teks;informationquality
sangat mbantu belanja ndapat barang butuh;informationquality
biaya langgan plus ko makin sini makin mahal;informationquality
ring tika belanja respon penjual lama order proses lama ma sampai batas batal otomatis pun status order masih proses alas barang kosong sayang mbatal order opsi pembatalan lebih nguntung penjual perti lebih murah toko lain mau ganti produk mau ganti alamat tolong tambah opsi pembatal lalai penjual perti dulu perti penjual lama respon stok barang kosong;reliability
makin sini makin ring eror kedar buka pes aja lemotnyaaa;easeofuse
good;nonquality
good;nonquality
makin sini makin buruk aja apk nyametode mua pembayar gak bisa susah bukanyaloading lama bgttolong baiki sistem yajang sampe pembeli pindah platform lain;easeofuse
cuma woro promo kalo gaj bisa pake;informationquality
ongkir mahal pengirim lemot;informationquality
belanja tokopedia buang waktu tiap belanja tak konfirmasi tau batal sistem aplikasi gagal baik blok aja ni aplikasi;reliability
baik;nonquality
ingin milih pembayar scrol aja bawah udah saja;informationquality
mantap;nonquality
apk guna;nonquality
gratis ongkos kirim hilang;informationquality
promo nipu;nonquality
ok;nonquality
menjak gabung ma tok mahal nurut sya promo langgann plus batasi padahal sya hampr tiap hari belanjad te sya chat ama resel jg ngeluh perti tunduk ama tok;informationquality
mantap;nonquality
sangat mudah guna ngga kaya aplikasi oren;nonquality
top;nonquality
review seki kali bonus akun ka sama akun baru ato dikit belanjana makin gak faham sistem;privacy
mantap;nonquality
gila banyak penipu;informationquality
ecommerce lokal baik ui ramah barang lengkap promo bejibun skon gede pemilih kurir sangat efektif efisien;nonquality
bagai paket ima suka belanja halang apalagi pembayar asli paket juga datang suai deduksi deskripsi nggak rusakcacat pabrik penting ima kasih kak llertokopedia mas kurir;informationquality
kurir rekomendasi ga banget dah oper² otomatis estimasi lama turunin bintang ga ubah kurir rekomendasi tokopedia tetap ga ubah;reliability
tiap tiap ya lu tokped tiap tanggal mbar mau checkout pilih tode pembayar lalu ngeblank sedia mana cs gaada bisa hubungi sama kali kuranginin dah baiki sistem;responsiveness
maaf pembayar napa banyak harus lalui bank cod gerai ofline sangat sulit tokkopedia ngga perti dulu;informationquality
bgsu puas aplikasi;nonquality
ok;nonquality
aplikasi bagus mbantu guna;nonquality
tokopedia plus juta bul bener aja;informationquality
perti dulu udah belas tahun kupakai belanja jual tapi komitmen njaga percaya pengguna marketplace enak ncabut langgan plus akun tanpa penjelas valid jauh tinggal pelayan costumer care nding orange maupun rah;responsiveness
beberapa kali order lalu lewat estimasi ki lewat ha beri konpensasi pun karna us lapor kalau shopee otomatis dapet vouvher konpensasi sini hadeuuh cewa jauh harap pelayanan kali masa parah kali penyelesaian csf pun kaya ga mau pising jawab tanya sayamungkin pikira oenting jawab;informationquality
beli barang po hari mulai tgl oktober estimasi tiba november kirim tgl november masa estimasi sampai krmh ttp november harus kalo barang dh kirim yaa estimasi lebih cepat ima customer kalo kayak gini kurirekspedisi ngelama lamain masa pulau jawa bali tunggu hari;informationquality
jelek waktu pes promo laku;nonquality
tokopedia masih banyak llee ller nipulapor cs ga nah tinda eki sudak bukti video poto ller masih jual;responsiveness
suka sama tokped;informationquality
aplikasi bagus;nonquality
ok mantap;nonquality
ni apk makin esini maakin aneh bug maakin banyak kupon gak bis pake padahal usah esuai sks suka ilang ndiri kupon waktu bayar nge lag gillaa nyata;informationquality
moga tokopedia bisa njadi toko online us mberi mudah para pembeli moga ongkir bisa gratis us calon pembeli bisa langgan ongkir gratis;informationquality
good app;nonquality
pelayan bagus;responsiveness
susah masuk aplikasi tokped udah update juga;informationquality
pencarin kurir aja masi lama suai range jangka waktu tentu unistall apk pindah toko lain suai janga waktu;reliability
apasi g bisa bukak;informationquality
pelangg tia klo belanja tokopedia gak shopee tempat lai ssya ngaju kartu pedia card kali gak acc padahal transakasi gak dikit;informationquality
aplikasi force close mulu pas upload gambar buat review tolong  benerin udah hapus cache buka ulang masih jadi juga kalo review lalu gak kirim alas internet benerin napa aplikasi error mulu;informationquality
aplikasi sangat mpermudah my lifestyle ren dah pkok;nonquality
karang tokopedia banyak ller penipu;informationquality
puas;nonquality
gatell baru aja detik udah habis gatel gatel;informationquality
siip;nonquality
telat hari aja langsung denda rb denda ga pake otak;informationquality
neng belanja sini ima kasih tokped;nonquality
banyak ller nipu mua barang cocok dgn foto hati aja beli barang sini suai banyak penipu;informationquality
ok;nonquality
moga lancar rejeki moga suai barang ready imakasih;informationquality
smga usah lancar us pak amin;informationquality
beda  ratting toko pengirim barang karang agak ribet upload foto harga lebih mahal shopee biaya aplikasi tapi makin sini makin jelek forma pengguna lama tapi minim promo harga promo perti tipu harga benar naik lalu olaho buat perti dang promo;informationquality
mantap banget apk;nonquality
mbantu;nonquality
bagus;nonquality
good;nonquality
burik;informationquality
ikl ngganggu;nonquality
parah tokopedia masa daftar tokopedia card gak acc acc udah bul parah;informationquality
mau pes kok ubah normal harga payah;informationquality
belanja lebih mudah tapi karang biaya tambah gak dikit;informationquality
aplikasi abal abal;nonquality
nice ;nonquality
udh thn lebih pake tokped betul komplain oktober proses komplainretur lamaa pas chat tokopedia care juga jawaban template banget padahal udh liat banget indikasi akun penipuanspam moga tokopedia care full ai minimal ganti manager;responsiveness
aplikasi anjg;informationquality
baik;nonquality
sy pengguna baru baru bbrpa kali transaksisllu muas lancar jaya;easeofuse
bgus;nonquality
ngasih voucher promosi via chat pas mau bayar ma kyk bug error gt muncul pop up sk laku ubah te mua voucher nggak bisa nempel produk manapunbikin sell udh protes nggak solusi nding co be mana gretong sini mahal bet nggak banding dg belanja orange cuma k bln tokped kbln addech;informationquality
nah ndaftar apalagi minjam apapun juga ima kasih;informationquality
pelayan buruk chat akhiri pengguna apk sangat cewa pelayana;informationquality
josss;nonquality
bagus nang belanja tokopedia pokok mantul;nonquality
masih ada mau belanja aplikasi tokopedia gak bisa andal chat live cs aja gak bisa hubung ngandal bot ta goblok luar biasa untung si orange utk solusi belanja online moga gak nasib tragis daripada lu puyeng mau komplin gak tau mana nding belanja tempat am yakni shopee cs live jam;informationquality
oke;nonquality
imakasih;nonquality
i tom i kakap tokped emang mantaaaaaaaappppppp;informationquality
 cari aplikasi guru bahasa inggris ma luar iniuang habis;informationquality
te update ma harga warna hitam gak lihat kalau background hitam juga barang rekomendasi aplikasi bisa beli toko aktif;informationquality
tepat mudah;nonquality
retur barang uang harus nunggu hari liat shopee tuh retur barang gampang uang mbali cepat ga nyampe hari baru juga anter jasa kirim uang udah mbali tokped m bisa gitu harus brantem dulu sama ller banding bikin jengkel uang retur nunggu hari rja gila;responsiveness
karang tokped daerah luar jawa ngak gratis ongkir kacau;informationquality
mantap;nonquality
bagusss kaliiiii;nonquality
aku instal aplikasi gak lama harga gak suai antara deskripsi anda harga cek out itupun masih perparah harga ongkir nurutku mahal mungkin tokped pilih kasih ya kayak tiap akun gak sama lakuan;informationquality
gak jelas lu tokopedia bagus bukalapak ma bangkrut gak jelas kaya tokopedia ma gak bangkrut;informationquality
beli box ukur xl tapi ima ukur cil rasa bohongin moga jadi pada konsumen lain tapi sar konsumen lain hati hati bila belanja tempat e commerce banyak komplain konsumen;informationquality
bagus;nonquality
tokopedia gagal mbuat sistem am pembeli lewati tenggat batal otomatis status masih barang proses tetapi uang bisa tarik tolong ring cek pedagang main nakal dengar orang komplain;reliability
baik;nonquality
