cleaned_content,label
fitur batal pesan penjual nakal tak ribet karang kalau harus batal pesan tokopedia perti dulu karang kacau,easeofuse
jang pake tokped jelek bgt sistem cs bot antri live agent chat sangat lemot ramah pengguna baru fiturfitur sangat rugi pembeli tombol pembatal pesan bbrp toko offical mall pun responsif nding pake apk lain pengaju retur respon sama kali rugi nominal cukup besarr update review sdh tinda tokped,responsiveness
bagu amanah trpercaya,informationquality
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
paket pes sangat lama jalan lebih baik shopee lebih cepat,informationquality
tokped mogq lebih baik layani customertoko juga lebih hati pengemas lebih am kurir sampai karang am sopanramah,reliability
pengalam buruk layan purna jual produk rusak cacat pabrik te kali pakai namun proses komplain penjual maupun tokopedia care sangat sulit penjual kooperatif tokopedia care juga bisa mbantu sistem otomatis nganggap transaksi lesai begitu pembeli mberi ulas hingga jalur retur tutup aplikasi ring lemot bagi layan pelangg sangat ngecewa pembeli lain harap hatihati jang i ulas belum yakin pro,responsiveness
tokped ko lama kaya gini ya jelek bgt gagal mulu mau pembayar udh besar skrg ma makin caur aj aplikasi payah,reliability
tampilan kok kayak ginitampil home pilih nu mana mua,webdesign
mau ceklacak pesan ribet harus masuk inbox baru notifikasi ena dulu langsung notifikasi mau liat daftar wishlist juga ribet harus ada anda biar enak kalau mau cek,easeofuse
mantap us tingkat,informationquality
jun lalu jadi bugg luar aplikasi tika klik produk ga biasa tokped ampas begini,informationquality
nggk bgt belanja sinikurir utama jne banyak alas gamau nganterin paket gabisa komplain hampir bul paket gak anterin nding toko oren pokok jgn pakek jne tokopedia kurir jne males nganterin paket banyak alas paket hilang kurir jne tulisan paket ima padahal paket nggk nah kirim,reliability
apa call center toped langsung hubung cs kurir masa bingung respond chat admin cuma suruh tunggu update padahal hampir minggu proses kirim,reliability
apk napa us us henti gimana bisa nyari milih barang ingin,informationquality
suka belanja sini,informationquality
live chat sini sangat rekom buat belanja komplain suatu sulit,responsiveness
si ijo sahabat blanja onlen jak start up tama pakai masih caya smp karangya ngga tau ya kompetitor luar bisa main banting harga promo toko online live juga kadang nggoda sebelahwhatever tokopedia lalu hati sayaselalu hati klo sya bawel sm komplen masih tokopedia juaranyayang care sm asa konsumen komplensemoga bs lbihbaik tah dg mnerima masu konsumen bisa bangkit mbali,informationquality
sar saja kalo bisa kurir si cepat hapus aja tempat lama bisa nyampe minggu lebih tuh barang nyampe cuma langgan plus kalo ujung pake si cepat kurir gak suai nama harus si lambat udah mah minggu lebih baru datang titipin pula sama kurir jne baru dah nyampe tempat,reliability
admin tolongiinn napa barang udah aku checkout kirim ma ilang list pengirim padahal marin masih produk bisa lacak eh ga komplain deh udah temu nyata hehehhe,responsiveness
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
payah ller toped banyak penipu her kok bisa lolos tanpa alamat ller belanja sunco kasih casing komplain barang bisa kembali krn alamat ller lengkap info toped bahwa pembeli respon aneh langsung blok hingga mberi ulas parah asli parah toped lihat perti rja sama sama ller,responsiveness
lama² kok bikin at aplikasi,informationquality
apk mantap login mudah tdk perti apk be login susah patah pengirim lama,privacy
ajuin komplain aja susah banget upload ga bisa bisa tolong perbaikin jang sulit,responsiveness
ren euy user interface bagus banget ampe hp ku hang manas mgkn aku harus ganti hp tetap ngguna aplikasi tokopedia,webdesign
ok ,informationquality
mohon maaf kpd pihak tokopedia sya  hamd yuafi mau komfirmasi bahwa te jadi beberapa kali masuk wa sya kode otp dri tokopediasedang sya dang ngaju aplikasi tokopediamohon kroscek kalau pun pengaju  hamd yuafi syatrm ksh,privacy
kasih event dapet koin belanja,informationquality
makin hancur tokopedia costumer rvice susah hubungi riwayat pembeli hilang mua mitra tokopedia karang tutup absolute cinematic great job tiktok hancur tokopedia,responsiveness
mau masuk toko blank putih at infinix note,informationquality
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
gajelas nih aplikasi bayar wifi tanggal ngasih tau transaksi gagal tanggal minimal kalo ngasih tau gagal tuh pas tanggal bayar  kocak mana refund lama mau komplain libur idul adha benerin sistem sana lucu,reliability
mitra tokopedia hapus dulu jual pulsa ppob token pakai mitra tokopedia bisa cetak struk karang pakai tokopedia bisa cetak struk tolong tokopedia tambah nu cetak struk perti mitra tokopedia,informationquality
beli main tokopedia nyata barang ilegal tak sni hingga aman brg jamin pas minta refund toko nolak complain tokopedia sampai ngomong chat cfs stlh tokopedia tuju pengembali brg sy pilih penjemput brg kurir jnt sampai batas waktu nyata kurir tak nah datangsaya jnt dekat mrk bilang tak rjasama dgn tokopedia mua ha akal tokopedia spy konsumen tak refund knp tokopedia mbiar penjual produk ilegal,reliability
tolong maksimal layan cs hari masih nunggu proses klaim barang hilang bawa kabur oknum kurir juga nemu jawaban,reliability
mau mbaliin barang tapi status transaksi ga padahal baru hari sampai aneh nih tokped ga dah make nih app,informationquality
beli barang luar pulau awal amanam saja cepat langsung kirim te hari lacak pengirim muncul status pesan dang retur barang larang kirim kalau mang bisa harus ller pihak ekspedisi nolak pengirim awal dana refund pun suai harga barang tadi tambah ongkir jamin ha kembali coba aju komplain pihak cs tokopedia bantu terang arti,responsiveness
aplikasi gak jelas order gak kirim lebihi batas waktu tentu chat penjual gak respon aju pembatal order gak jelas komplaik cs juga solusi lain nunggu setuju penjual bisa baiki sistm mang ha cari untung pengguna saja,informationquality
ad barang bisa cod burik bed dah,informationquality
kurir lelet komplain tokped care juga leletsamapi karang hampir bul paket gak sampe,reliability
no promosiflase sale gk nariktiap update harus kali,informationquality
toko pedia makai jasa kurir jne alami update barang sampai mana sangat jelas  market plase lain nggeser,reliability
gak jls apk,informationquality
aplikasi mbali normal ha sms ller harkonik karang pisah aplikasi ller toped imakasih,informationquality
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
tolong dong pihak tokopedia jang rja sama expedisi loading bangat idex lambat bangat progress tokopedia ma coreng sama expedisi lambat,informationquality
tokopedia ngeselin karang ga kaya dulu mulai ui ga nyam lesai liat gambar produk main ganti aja gambar us skusi produk ga udah ga pake tokopedia card notifikasi muncul mulu tiap bul banyak promo ga bisa gabung banyak biaya sembunyi jang pake layan plus ga banyak beda sama pengguna normal,informationquality
promo mana,informationquality
aplikasi jelek,informationquality
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
susah kali nghubungi cs tokopedia tungguin lama banget dang cs kalo ga gercep langsung tutup cuma ngasih tutorial jelas coba puluh kali ga bisa maka nghubungi cs juga lu bantu tim pluang nyaran nghubungi tokopedia akun bisa pindah,responsiveness
karang makin jelas udh batal otomatis uang d mbali,reliability
tolong kondisi ekspedisi dong banyak kurir nakal barang sabotase ganti kurir apalagi nominal ga dikit ngerugiin penjual sama pembeli,reliability
goblogs tolol bet ceo nh apk potong pajak admin embel tinggi pencair lama ga faedah klo ga paksa ga pake nh tokped buat jual,informationquality
udah ikutin prosedur dapat tokped card tapi gak setujuitolong jang sebar data,informationquality
bener suka nang belanja online tokped dulu tiap aju komplain barang sa kirim pihak admin tokopedia lalu siap cepat mbantu karang pihak admin perti gak duli padahal dah jelas toko njual barang toko penipu skarang udah tutup tokopedia karna gak amanah njual barang,responsiveness
tolong tambah pemberi rate kurir instant same day barang asal lempar,reliability
ahir aktif penjual tampilin min masak tama order sampai batal otomatis gk respon penjual udah nunggu lama eh batal,reliability
ren euy user interface bagus banget ampe hp ku hang manas mgkn aku harus ganti hp tetap ngguna aplikasi tokopedia,webdesign
mantapp lalu promo toko pedia sukses lalu,informationquality
apps belanja online banyak penipu complain barang suruh barang mbali toko ny trus alamat si toko gak lengkap gak jelas akhir barang pun gak sampai sampai ma muter muter karna barang gak sampai dana mbali si penjual penangan ribet padahal udah tau penipu bukti udah jelas napa toko pedia gak ngembai dana mblokir penjual,easeofuse
lelet penangan komplain gaada solusi sama kali hari nunggu gaada maju,responsiveness
toko kurang lengkap arching masih pakai tik orang aplikasi lain udah pakai foto gambar arching ribet gak bisa suai cari,easeofuse
mantap banget,informationquality
susah kali nghubungi cs tokopedia tungguin lama banget dang cs kalo ga gercep langsung tutup cuma ngasih tutorial jelas coba puluh kali ga bisa maka nghubungi cs juga lu bantu tim pluang nyaran nghubungi tokopedia akun bisa pindah,responsiveness
manteep,informationquality
makin parah pakai aplikasi makin ribet gak jelas komplen lalui cs gak respon solusi,easeofuse
cs ngah ngoh ngah ngoh,informationquality
ok baru mau coba mudah mudah bisa andal amanah,informationquality
batal otomatis lalu lama lebihi estimasi tiba pesanan kadang beberapa toko otomatis mproses pembeli gk layani lama beberapa hari sampai tanggal batal otomatis sistem bayar pake gopay rasa rugi karna uang tah batal otomatis pun harus chat penjual betul penjual mbalas chat sampai batal otomatis udah x ngalamin hal perti pembeli mbayar dulu rasa rugi sini,reliability
barang retur salah penjual bisa balikin pake ongkir tanggung ndiribeda sama toko be pick up akhir ikhlasin aja dah duit layang barang gbsa pake ngurus in balikin pengirim ma waktu,informationquality
toko pedia karang pelit voucher skon gk kayak dulu padahal pengguna dulu dulu tiap tgl akhir bul lalu potong karang gk udah gitu aplikasi karang lebih ribet gk kayak dulu,easeofuse
masa ngk bisa liat at produk website males banget,informationquality
aplikasi nyedia barang² bagus laku pengguna tuju sih sama ulas bawah tolong dia rating kurir biar terlambat antar barangbarang rusak ekspedisi dampak aplikasi suka aplikasi karna pilih pembayar lewat cod jauh nah bikin cewa ha saja order minggu lalu sampai kurir konsisten maka kalau rating jasa pengirim pasti rasa pengeluh,reliability
baru kali coba tokpedbeli barang pengirim jne beli barang cuma henti hub jakarta hariminta pengaju investigasi pengirim aju komplain ga bisa nunggu hari buat aju komplainuda jne lamb pihak tokped nunggu komplain lamawes kapok belanja sini,responsiveness
buruk kali klaim asuransi pegirim tgl i proses juga lambat teletele pihak tokopedia lapor tokio juga sbg asuransi tokopedia nyata sana laporan buruk kali pelayan kali apabila ingin mperbaiki citra kali bisa hubungi akun tokopedia nugroho azis wahyu prasetyo,responsiveness
gimana ngak bisa pilih kurir spesifikasi pindah be klo gitu,reliability
salah fatal tokopedia pilih kurir gratis ongkir pake kurir lelet kaya ong bikin males beli sini be pake kurir hari sampe,reliability
karang pencari sangat akurat hasil yword hasil sangat nyusah orang cari barang ibarat untung untung aja nemu barang cocok misal yword muncul ma mua angka udah gitu aplikasi makin hari makin at,informationquality
