cleaned_content,label
napa ya riwayat transaksi bul lalu ilang list transaksi pasahal mau belanja toko sama admindeveloper tolong atasi masalah pulih lembali kayak dulu bisa lihat riwayat transaksi tahuntahun lalu,informationquality
jauh apk bagus tapi tolong kasih fitur lacak posisi kurir dong biar tahu paket sampe manaa,reliability
konfirmasi pengembali barang gagal us tokoped ajx jgn donlot,reliability
baru coba pake tokped biasa pake belahpengiriman lamacourier malascuma telpon ga sampe rumahtelpon ga angkat lapor aplikasi,informationquality
belanja mudah,informationquality
moga bagus,informationquality
tool home munculun us boleh min soal ring mau mbali awal harus te mbali ulang tambain filter pencari dasar ekspedisi rasa penting,informationquality
sangat bagus kurir juga ramahd baik moga lebih mangat ya pak kurir tokopedia yasukses lalu ya amin,reliability
aku daftar affiliate  x x gagal mulu kata ganggu sistem tolong dong baiki,reliability
baik,informationquality
suka toko pedia kurir e grecep tapi aplikasi ngebug trus update rutin padahal bagi transaksi pas lacak barang lalu muncul layar putih tulisa g lihat males akhir,reliability
am pesan trima am,informationquality
halo google daftar udah kayak polisi tilang aja tokopedia banyak aturan kaya udah kaya polisi aja mahal baiki mohon hapus bak harus  langsung bisa buka,informationquality
baik,informationquality
aku kasih bintang satu ksrena rjasama sama anteraja kurir lelet kok buat rjasama benar orang juga bakal mau djbayar mahal kalo kualitas bagus kurir lelet kok pakai,reliability
napa mau komplain tokopedia barang sa kirim harus upload gambarvideo tapi bisa upload napa sih cahce luar masuk uninstal aplikasi instal tetap bisa upload fotovideo,responsiveness
riwayat transaksi karang ha nampil beberapa transaksi saja lama gak bisa lihat,informationquality
susah banget ajuin komplain gw pesen paket cum kirim kotak kosong,responsiveness
tolong baiki apps skarang banyak banget toko kasih harga murah tapi pas mw checkout kagak bisa tulis error kayak san manfaatin buat ikl gratis ring jebak mulu ampe stress gw pake nih apps mentara pindah shopee dulu ,informationquality
mantaplumay bisa kreditjadi bisa beli suai mampu,informationquality
mantap,informationquality
maaf mentara kasih bintang bab kurang nyam napa kok alamat pengirim bisa ubah ndiri padahal gak rubah pengirim pun gagal karna alamat ubah tolong perbaiki,reliability
tolong perbaiki bug bagi transaksi bisa akses error code,informationquality
bagus,informationquality
te update ui home makin aneh mana nu pilih pembayar bpjstoken listrik pulsa siapa sih ngide ilangin tampilan kira biar fresh gt kgakk mbaliin ui lama aja,webdesign
tolong dong pihak tokopedia jang rja sama expedisi loading bangat idex lambat bangat progress tokopedia ma coreng sama expedisi lambat,informationquality
karang tambah ribetsemenjak gabung sm tiktokknp g ndiri aja,easeofuse
mitra tokopedia hapus dulu jual pulsa ppob token pakai mitra tokopedia bisa cetak struk karang pakai tokopedia bisa cetak struk tolong tokopedia tambah nu cetak struk perti mitra tokopedia,informationquality
