cleaned_content,label
gimana nih tokopedia care koq ngga care komplain ngga solusi order ngguna kurir rekomendasi pilih tokopedia tapi info ller paket tolak pick up cair tau ndala hari akhir estimasi pengirim pun te ta ller aneh aja nama aja kurir rekomendasi tapi nyataan zonk,reliability
fix muak sama tokopedia moga saja anda bangkrut  daripada nyengsara pelangg mu cs mu kurang arti layan pusat komplain anda kurang bagus sangat buruk kali tahap tujui ma cantum nomor hp kalau emang penjual niat tanggung jawab napa harus pengembali barang langsung pengembali dana aja gitu kok bisa nomor hp cantum tetapi pihak pembeli suruh kirim barang,responsiveness
dasar penipu mau nipu biaya administrasi topup gopay rp modus bekerja sama gopay njanji voucher skon pembeli barang te topup gopay langsung hilang voucher skon nyawkwkwkmakan uang haram itubelum rugi ongkir belanja sini barang retur ller nakal ngaja ngirim barang pesan suai foto judul deskripsi produk pun te komplain refund masuk ongkirmending orange aja,responsiveness
baru coba pake tokped biasa pake belahpengiriman lamacourier malascuma telpon ga sampe rumahtelpon ga angkat lapor aplikasi,informationquality
belanja mudah,informationquality
moga bagus,informationquality
tool home munculun us boleh min soal ring mau mbali awal harus te mbali ulang tambain filter pencari dasar ekspedisi rasa penting,informationquality
sangat sulit nghubungi cs tokopediapenangan masa barang rijek mau retur jelas salahan lleritu pun sangat lama nunggu putus kaya ga admin,responsiveness
respon lambat proses lambat pengirim lambat terang jelas buruk,responsiveness
napa fitur gopay later bisa guna masih limit banyak namun bisa guna awal gagal lalu pilih tode pembayar gopay later hilang gak,reliability
aplikasi busuk usaha gede tapi gaada costumer rvice mau komplain mana ga tau udah gajelas maren habis beli barang tapi stok habis ller nolak pembatal barang pesen suruh ganti barang dang mau cancel juga ga bisa ga costumer rvice apk ampas nding gue pake apk oren daripada coba kalo barang gw beli juta us ga bisa cancel pihak tokopedia kayak ga mau tau najiss,responsiveness
am pesan trima am,informationquality
halo google daftar udah kayak polisi tilang aja tokopedia banyak aturan kaya udah kaya polisi aja mahal baiki mohon hapus bak harus  langsung bisa buka,informationquality
baik,informationquality
beli laptop dapet cashback rb mau claim masa sampe harus hubungi cs proses hari baru bisa respon cs lelet udah lesai claim bagai drama pas mau pake cuma bisa pake harga barang tiap kali mau belanja  aneh buat ngasih cashback gede sampe rb kalo ga bisa pake langsung harus transaksi jt dulu klo mau habisin cashback rb ga masuk akal akhir pake apk,responsiveness
pu akunmau masuk ulang kok ga bisa knp,privacy
riwayat transaksi karang ha nampil beberapa transaksi saja lama gak bisa lihat,informationquality
apasih aplikasi makin sini makin gk jelas waktu aku bikinin akun baru buat papa dapet rba k udah transaksi ma batalin otomatis sama pihak tokopedia tanpa jelas orderin barang ma tulis oops akun kamu gk suai dgn sk promo udah coba cari penyelesaian web tokopedia juga gk jelas heh napa ya dasar biadab aku baru aja buatin akun buat mami aku jadi begini tapi kali tiba² voucher pengguna baru hilang padhl waktu masih lama,privacy
susah dapat kurir main cancel aja,reliability
mantaplumay bisa kreditjadi bisa beli suai mampu,informationquality
mantap,informationquality
baru kali coba tokpedbeli barang pengirim jne beli barang cuma henti hub jakarta hariminta pengaju investigasi pengirim aju komplain ga bisa nunggu hari buat aju komplainuda jne lamb pihak tokped nunggu komplain lamawes kapok belanja sini,responsiveness
tolong perbaiki bug bagi transaksi bisa akses error code,informationquality
bagus,informationquality
bagus smooth ui ux barang jamin banyak ori toko rate skipun sama kayak lain tapi sini lebih cle mbingung mau beli,webdesign
tolong dong pihak tokopedia jang rja sama expedisi loading bangat idex lambat bangat progress tokopedia ma coreng sama expedisi lambat,informationquality
aplikasi susah guna ribet tika arching produk klik produk bukan masuk produk pilih ma balik home arching klik produk balik home njengkel kali susah buat belanja,easeofuse
mitra tokopedia hapus dulu jual pulsa ppob token pakai mitra tokopedia bisa cetak struk karang pakai tokopedia bisa cetak struk tolong tokopedia tambah nu cetak struk perti mitra tokopedia,informationquality
aplikasi bagus tampilan,webdesign
toko pedia mang oky,informationquality
jauh apk bagus tapi tolong kasih fitur lacak posisi kurir dong biar tahu paket sampe manaa,reliability
tiap ganti no hp saldo hilang udah konfirmasijawabn gk jelas ayo nongol sini kalau kamu manusia tanggung jawab,informationquality
