cleaned_content,label
aplikasi bagus ren ttp jaga kualitas y tokped,reliability
karang trackiing pengiriman kurang jelasha isi sortir sortir sajanama wilayah isiberbeda cek web pengirim langsungjelas nama wilayahnyaini bikin bingung paketmya sampai mana,reliability
mau tambah alamat pengirim tapi ga bisa pin point,easeofuse
mantap,nonquality
sy ganti bintang makin sini tokopedia makin aneh gak jelas,reliability
normal namun mudah,easeofuse
bagus,nonquality
aplikasi bagus user interface face mudah pahami,webdesign
banyak toko bodong,reliability
bagus tapi mbali in tampil gopay dulu dong biar langsung lihat imakasih,webdesign
aplikasi ga bener,reliability
tolong ada fitur block toko masa agar na dua kali,easeofuse
bagus lalu dapat harga murah pengirim juga cepat suka kali menjak download lupa sama toko orange,reliability
sangat mbantu,easeofuse
ren euy user interface bagus banget,webdesign
aku gerti ima kasih,nonquality
apk gak jelas banget top up ngecek riwayat top up ma gk muncul notif tapi kosong teks,easeofuse
sangat mbantu belanja ndapat barang butuh,easeofuse
biaya langgan plus ko makin sini makin mahal,informationquality
ring tika belanja respon penjual lama order proses lama ma sampai batas batal otomatis pun status order masih proses alas barang kosong sayang mbatal order opsi pembatalan lebih nguntung penjual perti lebih murah toko lain mau ganti produk mau ganti alamat tolong tambah opsi pembatal lalai penjual perti dulu perti penjual lama respon stok barang kosong,responsiveness
makin sini makin ring eror kedar buka pes aja lemotnyaaa,easeofuse
good,nonquality
napa akuisisi tiktok ma ngancurin mua hal ngutak atikk gak harus udah bagus ui ux dulu ma karang gak jelas udah gtu update akhir ma ngehapus riwayat transaksi tolong  udah bagus dulu jang utak atik algoritma pencari pun ma gak jelas buybacktokopedia kicktiktok,webdesign
makin sini makin buruk aja apk nyametode mua pembayar gak bisa susah bukanyaloading lama bgttolong baiki sistem yajang sampe pembeli pindah platform lain,easeofuse
cuma woro promo kalo gaj bisa pake,informationquality
ongkir mahal pengirim lemot,informationquality
belanja tokopedia buang waktu tiap belanja tak konfirmasi tau batal sistem aplikasi gagal baik blok aja ni aplikasi,reliability
fungsi berjalan dgn baik,reliability
ingin milih pembayar scrol aja bawah udah saja,easeofuse
mantap,nonquality
apk guna,easeofuse
gratis ongkos kirim hilang,informationquality
promo nipu,informationquality
tampilan kok kayak ginitampil home pilih nu mana mua,webdesign
menjak gabung ma tok mahal nurut sya promo langgann plus batasi padahal sya hampr tiap hari belanjad te sya chat ama resel jg ngeluh perti tunduk ama tok,informationquality
mantap,nonquality
sangat mudah guna ngga kaya aplikasi oren,easeofuse
te update ui home makin aneh mana nu pilih pembayar bpjstoken listrik pulsa siapa sih ngide ilangin tampilan kira biar fresh gt kgakk mbaliin ui lama aja,webdesign
review seki kali bonus akun ka sama akun baru ato dikit belanjana makin gak faham sistem,informationquality
bagus smooth ui ux barang jamin banyak ori toko rate skipun sama kayak lain tapi sini lebih cle mbingung mau beli,webdesign
gila banyak penipu,reliability
ecommerce lokal baik ui ramah barang lengkap promo bejibun skon gede pemilih kurir sangat efektif efisien,easeofuse
bagai paket ima suka belanja halang apalagi pembayar asli paket juga datang suai deduksi deskripsi nggak rusakcacat pabrik penting ima kasih kak llertokopedia mas kurir,reliability
kurir rekomendasi ga banget dah oper² otomatis estimasi lama turunin bintang ga ubah kurir rekomendasi tokopedia tetap ga ubah,reliability
